item,sweep,seed,model_size,epochs,batch_size,lr,drop_rate,weight_decay,balanced,train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss,time_minutes
1,reference,42,gpt2-medium (355M),5,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.004619,0.014295,0.00447,0.411127
2,reference,123,gpt2-medium (355M),5,8,5e-05,0.0,0.1,1,1.0,0.95,0.987013,0.005301,0.106092,0.030126,0.409664
3,reference,456,gpt2-medium (355M),5,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.008575,0.01077,0.006621,0.378467
4,reference,789,gpt2-medium (355M),5,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.013105,0.032461,0.009334,0.385891
5,reference,1024,gpt2-medium (355M),5,8,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.016275,0.022751,0.009067,0.344806
6,batch_size,42,gpt2-medium (355M),5,3,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.000547,0.001109,0.001037,0.817656
7,batch_size,123,gpt2-medium (355M),5,3,5e-05,0.0,0.1,1,1.0,1.0,0.987013,0.000627,0.001097,0.033398,0.781783
8,batch_size,456,gpt2-medium (355M),5,3,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.000441,0.000711,0.00139,0.802346
9,batch_size,789,gpt2-medium (355M),5,3,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.000498,0.001147,0.00401,0.789478
10,batch_size,1024,gpt2-medium (355M),5,3,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.001014,0.001562,0.00153,0.788146
11,batch_size,42,gpt2-medium (355M),5,5,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.001614,0.004544,0.002024,0.504633
12,batch_size,123,gpt2-medium (355M),5,5,5e-05,0.0,0.1,1,1.0,0.92,0.987013,0.001916,0.152659,0.053277,0.50236
13,batch_size,456,gpt2-medium (355M),5,5,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.001335,0.006704,0.003626,0.501433
14,batch_size,789,gpt2-medium (355M),5,5,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.000711,0.032278,0.012097,0.489876
15,batch_size,1024,gpt2-medium (355M),5,5,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.002551,0.006109,0.003584,0.489682
16,batch_size,42,gpt2-medium (355M),5,13,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.15108,0.205913,0.035745,0.246547
17,batch_size,123,gpt2-medium (355M),5,13,5e-05,0.0,0.1,1,1.0,0.953846,0.987013,0.080987,0.148152,0.045694,0.253317
18,batch_size,456,gpt2-medium (355M),5,13,5e-05,0.0,0.1,1,1.0,0.984615,0.991342,0.165991,0.208974,0.063129,0.255326
19,batch_size,789,gpt2-medium (355M),5,13,5e-05,0.0,0.1,1,0.969231,0.984615,0.991342,0.101423,0.218138,0.054558,0.260799
20,batch_size,1024,gpt2-medium (355M),5,13,5e-05,0.0,0.1,1,1.0,1.0,1.0,0.287045,0.425416,0.132928,0.242162
21,epochs,42,gpt2-medium (355M),3,8,5e-05,0.0,0.1,1,1.0,0.85,0.978355,0.57813,0.625434,0.269888,0.223063
22,epochs,123,gpt2-medium (355M),3,8,5e-05,0.0,0.1,1,1.0,0.95,0.991342,0.349438,0.460048,0.172054,0.210909
23,epochs,456,gpt2-medium (355M),3,8,5e-05,0.0,0.1,1,1.0,0.975,0.982684,0.582296,0.63303,0.390498,0.214958
24,epochs,789,gpt2-medium (355M),3,8,5e-05,0.0,0.1,1,0.975,0.9,0.948052,0.522475,0.626869,0.284323,0.210119
25,epochs,1024,gpt2-medium (355M),3,8,5e-05,0.0,0.1,1,0.975,0.825,0.91342,0.720275,0.95111,0.563853,0.21728
